SourceFile,Latitude,Longitude,AbsoluteAltitude,RelativeAltitude,GimbalRollDegree,GimbalYawDegree,GimbalPitchDegree,FlightRollDegree,FlightYawDegree,FlightPitchDegree
./DJI_0533.JPG,+33.8490844,-106.8734539,+1.20,+1328.23,+0.00,-30.20,-89.90,+0.00,-11.00,-2.00
./DJI_0282.JPG,+33.8483036,-106.8739084,+1.20,+1328.43,+0.00,+150.00,-89.90,-0.10,+169.00,-1.10
./DJI_0296.JPG,+33.8476881,-106.8737619,+1.20,+1328.43,+0.00,+149.70,-89.90,+1.20,+168.90,+0.50
./DJI_0309.JPG,+33.8471171,-106.8736276,+1.20,+1328.23,+0.00,+149.60,-89.90,+0.30,+169.10,+0.50
./DJI_0335.JPG,+33.8482794,-106.8737732,+1.20,+1328.33,+0.00,-30.10,-89.90,-1.50,-11.00,-2.10
./DJI_0453.JPG,+33.8492413,-106.8737469,+1.20,+1328.33,+0.00,-30.20,-89.90,+0.30,-10.80,-3.30
./DJI_0447.JPG,+33.8489755,-106.8736826,+1.20,+1328.33,+0.00,-30.20,-89.90,-1.60,-10.80,-3.10
./DJI_0321.JPG,+33.8476622,-106.8736285,+1.20,+1328.23,+0.00,-29.60,-89.90,+0.30,-11.10,-2.00
./DJI_0490.JPG,+33.8482360,-106.8733811,+1.20,+1328.33,+0.00,+149.30,-89.90,+0.80,+166.40,+0.10
./DJI_0484.JPG,+33.8485020,-106.8734433,+1.20,+1328.43,+0.00,+149.30,-89.90,+1.60,+168.90,+0.70
./DJI_0485.JPG,+33.8484563,-106.8734324,+1.20,+1328.43,+0.00,+149.30,-89.90,+2.40,+168.60,+1.00
./DJI_0491.JPG,+33.8481912,-106.8733704,+1.20,+1328.23,+0.00,+149.30,-89.90,+0.00,+168.70,-0.90
./DJI_0446.JPG,+33.8489307,-106.8736734,+1.20,+1328.33,+0.00,-30.20,-89.90,+0.10,-11.30,-4.90
./DJI_0320.JPG,+33.8476178,-106.8736186,+1.20,+1328.33,+0.00,-29.60,-89.90,+1.00,-11.00,-1.90
./DJI_0334.JPG,+33.8482347,-106.8737631,+1.20,+1328.43,+0.00,-30.10,-89.90,-1.30,-10.70,-2.40
./DJI_0452.JPG,+33.8491958,-106.8737360,+1.20,+1328.33,+0.00,-30.20,-89.90,+0.80,-10.50,-3.50
./DJI_0308.JPG,+33.8471633,-106.8736379,+1.20,+1328.23,+0.00,+149.60,-89.90,+1.00,+168.70,+0.00
./DJI_0297.JPG,+33.8476444,-106.8737513,+1.20,+1328.33,+0.00,+149.70,-89.90,+0.90,+169.10,-0.20
./DJI_0283.JPG,+33.8482596,-106.8738988,+1.20,+1328.33,+0.00,+150.00,-89.90,-0.20,+168.60,-1.40
./DJI_0532.JPG,+33.8490426,-106.8734442,+1.20,+1328.13,+0.00,-30.20,-89.90,-0.70,-10.90,-1.60
./DJI_0526.JPG,+33.8487773,-106.8733814,+1.20,+1328.23,+0.00,-30.10,-89.90,-0.50,-11.00,-1.80
